,entity_id,label,description,example
474,RO.0003311,condition exacerbated by,"A relationship between a condition (a phenotype or disease) and an entity (e.g. a chemical, environmental exposure, or some form of genetic variation) where some or all aspects of the condition are worsened by the presence of the entity.",
483,RO.0004008,has primary output,"p has primary output c if (a) p has output c and (b) the goal of process is to modify, produce, or transform c.",
484,RO.0004009,has primary input,"p has primary input c if (a) p has input c and (b) the goal of process is to modify, consume, or transform c.",
501,RO.0004026,disease has location,A relationship between a disease and an anatomical entity where the disease has one or more features that are located in that entity.,
504,RO.0004029,disease has feature,"A relationship between a disease and some feature of that disease, where the feature is either a phenotype or an isolated disease.",
506,RO.0004031,enables subfunction,"Holds between an entity and an process P where the entity enables some larger compound process, and that larger process has-part P.",
515,RO.0007000,has driver,"A relation between two entities, in which one of the entities is any natural or human-influenced factor that directly or indirectly causes a change in the other entity.",
516,RO.0007001,has disease driver,"A relation between an entity and a disease of a host, in which the entity is not part of the host itself, and the condition results in pathological processes.",
518,RO.0008502,has epiphyte,inverse of epiphyte of,
520,RO.0008504,kleptoparasitized by,inverse of kleptoparasite of,
521,RO.0008505,creates habitat for,An interaction relationship wherein one organism creates a structure or environment that is lived in by another organism.,
522,RO.0008506,ecologically co-occurs with,An interaction relationship describing organisms that often occur together at the same time and space or in the same environment.,
523,RO.0008507,lays eggs on,An interaction relationship in which organism a lays eggs on the outside surface of organism b. Organism b is neither helped nor harmed in the process of egg laying or incubation.,
525,RO.0008509,has roost,"x 'has roost' y if and only if: x is an organism, y is a habitat, and y can support rest behaviors x.",
526,RO.0009001,has substance added,"""has substance added"" is a relation existing between a (physical) entity and a substance in which the entity has had the substance added to it at some point in time.",
527,RO.0009002,has substance removed,"""has substance removed"" is a relation existing between two physical entities in which the first entity has had the second entity (a substance) removed from it at some point in time.",
528,RO.0009003,immersed in,"""immersed in"" is a relation between a (physical) entity and a fluid substance in which the entity is wholely or substantially surrounded by the substance.",
529,RO.0009004,has consumer,'has consumer' is a relation between a material entity and an organism in which the former can normally be digested or otherwise absorbed by the latter without immediate or persistent ill effect.,
531,RO.0009006,assay measures characteristic,"A relation between an assay and a characteristic, in which the assay generates a data item which is a measure of a characteristic.",
534,RO.0010001,generically depends on,A generically dependent continuant *b* generically depends on an independent continuant *c* at time *t* means: there inheres in *c* a specifically deendent continuant which concretizes *b* at *t*.,
535,RO.0010002,is carrier of,*b* is carrier of *c* at time *t* if and only if *c* *g-depends on* *b* at *t*,
536,RO.0011002,regulates activity of,"The entity A has an activity that regulates an activity of the entity B. For example, A and B are gene products where the catalytic activity of A regulates the kinase activity of B.",
537,RO.0011003,regulates quantity of,The entity A has an activity that regulates the quantity or abundance or concentration of the entity B.,
544,RO.0011014,destabilizes quantity of,An entity A directly interacts with B and A has an activity that decreases the amount of an entity B by degradating it.,
545,RO.0011015,stabilizes quantity of,An entity A physically interacts with B and A has an activity that increases the amount of an entity B by stabilizing it.,
561,RO.0012010,removes input for,"p removes input for q iff p is causally upstream of q, there exists some c such that p has_input c and q has_input c, p reduces the levels of c, and c is rate limiting for execution of q.",
563,RO.0012012,indirectly regulates,p indirectly regulates q iff p is indirectly causally upstream of q and p regulates q.,
576,RO.0015001,has exemplar data,A relation between a material entity and some data in which the data is taken as exemplifying the material entity.,
584,RO.0015010,has relative magnitude,,
585,RO.0015011,has cross section,"s3 has_cross_section s3 if and only if : there exists some 2d plane that intersects the bearer of s3, and the impression of s3 upon that plane has shape quality s2.",
590,RO.0016002,has disease,A relationship that holds between an organism and a disease. Here a disease is construed broadly as a disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism.,
591,RO.0016004,has exposure medium,"X has exposure medium Y if X is an exposure event (process), Y is a material entity, and the stimulus for X is transmitted or carried in Y.",
592,RO.0017001,device utilizes material,"X device utilizes material Y means X and Y are material entities, and X is capable of some process P that has input Y.",
593,RO.0017003,positively correlated with,A relation between entities in which one increases or decreases as the other does the same.,
594,RO.0017004,negatively correlated with,A relation between entities in which one increases as the other decreases.,
595,RO.0017005,contains measured amount,A relation between a container and measurement datum that specifies the actual amount of material in the container.,
596,RO.0017006,has maximum capacity,A relation that relates a container to a measurement datum that specifies the maximum capacity of the container. Capacity can refer to either weight or volume.,
597,RO.0017008,owns,A primitive relation that holds between entities x and y in which y is at x's full disposal.,
598,RO.0017009,is owned by,Inverse of the owns relation.,
599,RO.0018001,is myristoyltransferase activity,Helper relation for OWL definition of RO:0018002 myristoylates,
601,RO.0018003,myristoylated by,inverse of myristoylates,
602,RO.0018027,is agonist of,a relation between a ligand (material entity) and a receptor (material entity) that implies the binding of the ligand to the receptor activates some activity of the receptor,
604,RO.0018029,is antagonist of,a relation between a ligand (material entity) and a receptor (material entity) that implies the binding of the ligand to the receptor reduces some activity of the receptor to basal level,
611,RO.0018036,is tautomer of,"Two chemicals are tautomers if they can be readily interconverted.

This commonly refers to prototropy in which a hydrogen's position is changed, such as between ketones and enols. This is also often observed in heterocyclic rings, e.g., ones containing nitrogens and/or have aryl functional groups containing heteroatoms.",
613,RO.0018038,has functional parent,"Chemical A has functional parent Chemical B if there is chemical transformation through which chemical B can be produced from chemical A. 

For example, the relationship between a salt and a freebased compound is a ""has functional parent"" relationship.",
614,RO.0018039,is enantiomer of,"Chemicals A and B are enantiomers if they share the same molecular graph except the change of the configuration of substituents around exactly one chiral center.

A chemical with no chiral centers can not have an enantiomer. A chemical with multiple chiral centers can have multiple enantiomers, but its enantiomers are not themselves enantiomers (they are diastereomers).",
615,RO.0018040,has parent hydride,Chemical A has parent hydride Chemical B if there exists a molecular graphical transformation where functional groups on A are replaced with hydrogens in order to yield B.,
616,RO.0019000,regulates characteristic,A relationship that holds between a process and a characteristic in which process (P) regulates characteristic (C) iff: P results in the existence of C OR affects the intensity or magnitude of C.,
617,RO.0019001,positively regulates characteristic,A relationship that holds between a process and a characteristic in which process (P) positively regulates characteristic (C) iff: P results in an increase in the intensity or magnitude of C.,
618,RO.0019002,negatively regulates characteristic,A relationship that holds between a process and a characteristic in which process (P) negatively regulates characteristic (C) iff: P results in a decrease in the intensity or magnitude of C.,
623,RO.0020202,has numerator,A relationship between a ratio or proportion and its dividend.,
624,RO.0020203,has denominator,A relationship between a ratio or proportion and its divisor.,
